"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Respondent Id"
"430","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","toilet bersi petugas ramah","5","5","5","34d4f86f-6857-4c94-88e6-d351f8e76519"
"431","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Fasilitasnya lengkap dan berfungsi dengan baik","5","5","5","78cc74bc-5644-4a68-a46f-b5c6424e15bf"
"432","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Toiket bersih dan wangi","5","5","5","4cb29153-3c5b-483a-80ae-c96a8f1ad2e4"
"433","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Pasilitas nya sudah memadai hanya saja bagai mana agar terus update bila ada inovasi terbaru yang lebih canggih nnti nya akan sangat uar biasa","5","5","5","5c902bf9-e278-4171-977e-762c013beebb"
"434","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Toilet  bersih. dan pwtugasnya ramah","5","5","5","e5038d75-71d7-438c-847a-dc7c2421e303"
"435","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","5","Petugas sangat ramah,toilet bersih","5","5","5","27f3de57-a9b5-4d4a-8913-7863a9f20075"
"436","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Fasilitas cukup. Bah kan sangat baik, untuk kerbersihan nya juga cukup baik","5","5","4","c31a397d-1f27-408c-834a-56443e157fa9"
"437","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Baik lengkap dan berfungsi","5","5","5","4b1c18a1-49a5-4c09-a07e-ff30459bdc8a"
"438","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Fasilitasnya lengkap dan berfungsi dengan baik","5","5","5","62f7ddb2-9fdd-4a74-a53d-d203330eda44"
"439","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Sangat bagus","5","5","5","d5001db0-2310-43e9-9d52-7d935e8d8027"
"440","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Pelayanan sangat baik toilet bersih, wangi , dan petugas sangat sopan .","5","5","5","276625c5-0ea6-4efb-b199-8fac95303d72"
"441","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Toiletnya bersih","5","5","5","6e498a03-aac6-4331-8bb4-48ac1cb069f5"
"442","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","fasilitasnya lengkap dan baik","5","5","5","9a5698fc-d8a2-49c0-af5d-91bfc89cf28e"
"443","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","toilet bersih petuganya sangat ramah.. bikin nyaman","5","5","5","266cf9f5-41f4-47f0-b52c-03c51e7b71c1"
"444","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Petugas toilet ramah","5","5","5","decca216-ac1a-428e-b1b0-e4d84e8c5e44"
"445","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Petugas nya ramah,,,mudah senyum, toilet nya juga bersih dan harum,,,, harapan nya terus di pertahankan 😀😃😃","5","5","5","2ac817f0-f341-4407-b8cc-aea1eddbb15f"
"446","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","5","Fasilitas toilet lengkap,berfungsi dengan baik","5","5","5","e9e766d7-aa25-4933-b185-c2fc105f3bdb"
"447","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Layanan sangat memuaskan","5","5","5","335ba412-6605-4c2d-b98a-901e739af74d"
"448","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5",,"5","5","5","adc192b1-84cd-4e49-b1e6-dd4c12da5e19"
"449","API dan IAS","KNO","3","TOILET,P5 WANITA","KNO-TW-P05","5","Sangat bagus","5","5","5","8ccbee8b-db4a-417c-999f-343679344868"
"450","API dan IAS","KNO","3","TOILET,A8 WANITA","KNO-TW-A08","5","Suka sama keramahan mb² nya yg bertugas di toilet kedatangan lt.1 yg berlokasi setelah turun tangga eskalator belok kiri kalo kita baru landing.toilet bersih, petugas ramah.

Utk survey penilaiannya pake cara yg sebelumnya aja donk.
Ribet pake barcode.
Yg lama kan bisa langsung.","5","5","5","5bed3811-c7f0-4562-b17e-cc13f420bd34"
"451","API dan IAS","KNO","3","TOILET,P5 PRIA","KNO-TP-P05","5","Sangat bagus","5","5","5","8d94866a-4a5a-449d-893b-3bbbe53c2cdd"
"452","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Pelayanan sangat memuaskan","5","5","5","2b71e103-c3f0-4127-92b1-ecba88f81498"
"453","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","4","Baik","4","4","4","01711a80-b914-4974-acac-abcd6d2fac61"
"454","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Pelayanan sangat memuas kan","5","5","5","5200e9fc-b0e7-482b-9942-8e9ddefbf4bb"
"455","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Toiletnya wangi,bersih,petugasnya ramah,","5","5","5","732c90ad-7779-4f54-bd34-1eb50ae46800"
"456","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Semoga pasilitas nya lebih baik lagi kedepannya","5","5","5","d95dda78-d743-4af1-baf5-468fcede71e0"
"457","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","toilet sangat bersih,petugasnya ramah","5","5","5","eafb1322-d11e-44e6-9e09-4a49ccf0ba3e"
"458","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Layanan sangat memuaskan","5","5","5","425f8519-4c9b-4805-8422-db088df0450d"
"459","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Bersih wangi dan pelayanan baik","5","5","5","ec7685fe-0142-447d-9b47-ec0911dc00f3"
"460","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Pelayanan sangat memuaskan","5","5","5","629c81ee-283c-4d93-b770-dec7aa02dd43"
"461","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5",,"5","5","5","a04d89d7-d705-409c-a8fb-b518e3cb499c"
"462","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Pasilitas toilet nya sangat baik","5","5","5","05fc7d7e-5b59-4d99-9b67-45ac0db483aa"
"463","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Sangat ramah dalam pelayanan","5","5","5","a8df0e3e-65ab-406c-9ff1-709d61814375"
"464","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5","Sangat puas akan pelayanan","5","5","5","0d2515f9-9684-4add-b9cf-32fa9e3b357a"
"465","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Toilet sangat baik","5","5","5","b1e4076b-bec9-427c-8e0a-2b11a48a5528"
"466","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Sangat memuaskan","5","5","5","9dfe3213-e352-413c-9b28-2df964fde634"
"467","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Sengat puas akan pelayanannya","5","5","5","a844ac40-bb3b-420c-97cd-0cc5536d74ac"
"468","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","4",,"1","3","2","16339cc1-b9d8-4f0b-917e-40df305ee0e0"
"469","API dan IAS","CGK T1","1","TOILET T1A - BAGGAGE CLAIM WANITA","A.CCAT.W","5","Toilet nya bersih, terus akses dari musholla ke toilet tu deket jd mudah bgt","5","5","5","876eba42-e4cc-4179-a3ff-eebcd03fcc59"
"470","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","5","Pelayanan petugas toilet ramah sangat memuaskan dan toilet,urinal,whestafel bersih.","5","5","5","99eafe14-835e-4d6b-a052-9f6973a50bf3"
"471","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Toilet nya bersih petugas ny ramah","5","5","5","ef891d0b-287f-42f2-970a-ba56d95450ab"
"472","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-6 WANITA","A.BL6.W","5","Musholla & t4 wudhu utk muslim muslimah agar dipisah","4","5","5","e0561e5e-2581-46d0-9d7e-4479d92aa8f0"
"473","API dan IAS","KNO","3","TOILET,D6 WANITA","KNO-TW-D06","5",,"5","5","5","10ce80bb-6db8-4dc6-835d-794feecf455e"
"474","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Fasilitas baik berfungsi bersih & nyaman","5","5","5","2d076c72-e92e-485e-9ead-ab18b64f0f96"
"475","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07","5","Petugas ramah dan toiletnya bersih","5","5","5","6d6facb6-ea7e-41c6-99b0-900b89c6227c"
"476","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Toilet a bersih & wangi","5","5","5","99415ca1-25f6-46ef-bef9-89f09c83ae21"
"477","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5","Fasilitas toilet bersih dan kering","5","5","5","3f9128da-e447-43dd-b21c-e26986e106f9"
"478","API dan IAS","KNO","3","TOILET,A8 WANITA","KNO-TW-A08","5","fasilitas toilet baik dan berfungsi","5","5","5","14e0ab6e-8df2-4a80-b1bd-ea347d6aa2cf"
"479","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","5","Toilet bersih, wangi, kering dan petugas ramah","5","5","5","cc4a867d-7aa3-4766-952f-4e3e7f562b34"
"480","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5","Fasilitas toilet bersih dan berfungsi dengan baik","5","5","5","1504eab6-2e03-466a-983e-8c5d65068720"
"481","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07","5","Petugas sangat ramah dan toilet bersih","5","5","5","bc1d65f2-ccd0-45cc-9743-f10376c91381"
"482","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07","5","Fasilitas toilet baik bersih dan berfungsi dengan baik","5","5","5","9dc25801-7283-405b-b056-bd014c56c497"
"483","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5","toilet bersih dan petugas rahma","5","5","5","29ae7bea-3b5a-4427-96c4-c2f970b79e50"
"484","API dan IAS","KNO","3","TOILET,A4 PRIA","KNO-TP-A04","5","Pertahankan kebersihan toilet","5","5","5","8e5cd1ce-8c99-4d1b-8936-98f41db7e9cb"
"485","API dan IAS","KNO","3","TOILET,A8 WANITA","KNO-TW-A08","5","Fasilitas baik, bersih dn berfungsi dgn baik","5","5","5","597f43f6-fd8f-4095-9e13-794689c273ec"
"486","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03","5","Kualitas toiletnya bagus dan pelayanannya bagus mohon di pertahankan","5","5","5","357fe8cc-6284-485f-8153-33a3c2a281b3"
"487","API dan IAS","KNO","3","TOILET,A4 PRIA","KNO-TP-A04","5","Sangat puas dengan fasilitas yang ada di toilet","5","5","5","a8f97963-91d6-43e2-a93e-fe52868e0a28"
"488","API dan IAS","KNO","3","TOILET,A4 PRIA","KNO-TP-A04","5","Fasilitasnya lengkap dan bagus","5","5","5","8a818b47-8a7b-49ca-973b-6f4daca7bc37"
"489","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Tetap pertahankan kwalitas kebersihan dan pelayanannya","5","5","5","f6b2f27a-d903-4a0a-a96e-87dc82bfad69"
"490","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","masukan saya yaitu kran wastafel nya sistem manual aja karena membingungkan bagi yg tdak paham, dan terkadang kontak'","5","5","5","7e74ef32-6652-4ac5-bf18-e1b528bac56c"
"491","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","4","Pelayanan, dan fasilitas nya harus bisa dipertahankan dan ditingkat kan lebih baik kedepannya.","5","5","5","b32af607-fae3-4576-be27-8ac5ae4ad79f"
"492","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Fasilitas nya sudah bagus dan baik. Hanya saja lebih diperhatikan kualitas dari fasilitas tersebut ☺️ seperti washtafel lebih baik yang manual saja dari pada yang sensor","5","5","5","a88dc609-1054-4c15-a3ae-0891068d5dd8"
"493","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Fasilitas di dalam toilet nya suda bagus dan baik,Hanya saja lebih di perhatiin kualalitas dari fasilitas tersebut","5","5","5","c69f4f78-2aa9-4b3a-8fcd-9745fb5a1a57"
"494","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03","5","Tetap pertahankan kualitas","5","5","5","b476d958-f883-4647-a20f-a448e57c6bef"
"495","API dan IAS","KNO","3","TOILET,A4 WANITA","KNO-TW-A04","5","Toilet nya harum.
Penjaga nya rama","5","5","5","34801816-f2f0-4477-9d2a-500187235878"
