MEMBER,PARAMETERS,Unit,Target,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,MEI 2026,JUNI 2026
IAS,Call Center Performance (Gapura Angkasa) - Service Level,Percentage (%),NULL,82.14%,88.57%,78.79%,89.29%,90.91%,82.35%,85.37%,75.00%,84.21%,73.08%,55.00%,80.56%,68.42%,76.47%,80.00%,52.73%,38.89%,58.35%
IAS,Social Media Monitoring - Volume of Interaction,Numbers,NULL,6654,913,6525,4462,4440,1907,1315,7910,7931,12795,6674,14652,7629,8793,8469,18275,7757,18039
IAS,Social Media Monitoring - Net Sentiment Score,Percentage (%),% Positive (Maximize),55.56%,50%,37%,34.48%,49.32%,41.76%,48.67%,75%,67.70%,46.17%,66.86%,43.29%,47.55%,60.17%,83.53%,75.88%,91.94%,86.60%
IAS,Social Media Monitoring - Average Response Time,Hours,NULL,1,0,7,10,13,5,5,12,4,5,10,13,14,13,9,11,9,14
IAS,Social Media Monitoring - Response to Sentiment Ratio,0.00 - 1.00,"0,2-0,7 (Maximize)",0.09,0,0.35,0.3,0.7,0.45,0.74,0.21,0.56,0.69,0.74,0.4,0.3,0.83,0.11,0.26,0.52,0.74
IAS,Complaint Handling - Total Complaint,Numbers,NULL,3,3,62,28,102,120,109,62,90,13,3,2,44,29,101,71,136,92
IAS,Complaint Handling -  Completed,Numbers,NULL,3,3,62,28,102,120,109,62,90,13,3,2,44,29,96,66,134,84
IAS,Complaint Handling - Progress,Numbers,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,8
IAS,Complaint Handling - Untouch,Numbers,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAS,Complaint Handling - Complaint Resolution Rate,Percentage (%),NULL,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,95%,93%,99%,91%
IAS,Complaint Handling - Average Time Resolution,Day,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.25,0.37,0.3,0.2,0.1
SRN,CSAT - Overall,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.41,3.25,4.41,4.25,3.9,3.75,4.28,4.5
SRN,CSAT - People,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.67,4.5,4.25,5,4.7,3.37,4.2,4.55
SRN,CSAT - Process,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.37,3.5,4.25,4.5,4.7,3.37,4.6,4.55
SRN,CSAT - Premises,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5,4.16,4.14,4,4.6,3.33,4.2,4.59
SRN,Social Media Monitoring - Volume of Interaction,Numbers,NULL,4800,8100,1400,3000,1900,6700,4000,5800,1000,4900,2400,6000,10500,3500,4500,1300,5900,9200
SRN,Social Media Monitoring - Net Sentiment Score,Percentage (%),NULL,63.92%,15.79%,72.06%,54.68%,11.18%,4.09%,54.65%,20.12%,21.14%,13.88%,9.28%,40.07%,46.62%,11.78%,21.48%,47.02%,29.21%,22.06%
SRN,Social Media Monitoring - Average Response Time,Hours,NULL,15,13,25,31,152,14,21,12,24,21,35,6,30,11,8,8,4,11
SRN,Social Media Monitoring - Respons to Sentiment Ratio,"0,00 - 1,00",NULL,0.28,0.67,0.1,0.05,0.07,0.35,0.13,0.23,0.27,0.24,0.01,0.25,0.23,0.21,0.58,0.07,0.29,0.11
SRN,Complaint Handling - Total Complaint,Numbers,NULL,4,8,6,10,8,8,2,3,5,5,5,6,6,1,5,1,2,2
SRN,Complaint Handling - Completed,Numbers,NULL,4,8,6,9,8,8,2,3,5,5,5,6,6,1,5,1,2,2
SRN,Complaint Handling - Progress,Numbers,NULL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SRN,Complaint Handling - Untouch,Numbers,NULL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN,Complaint Handling - Complaint Resolution Rate,Percentage (%),NULL,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SRN,Complaint Handling - Average Time Resolution,Day,NULL,1,1,1.5,2.5,1,8,1,1,1,6,29,1,1,1,8,1,3.5,3.5
